iter	Accuracy	MultiClass
620	0.8700101317	0.4621710657
621	0.8701367781	0.4617491748
622	0.8701621074	0.4616447905
623	0.8702380952	0.4615318476
624	0.8703014184	0.4613102659
625	0.8704660588	0.4610584572
626	0.870529382	0.4609325034
627	0.8704027356	0.4606650123
628	0.8704154002	0.4606635282
629	0.8704154002	0.4606618957
630	0.8706306991	0.4600857535
631	0.8707066869	0.4597766076
632	0.8707193516	0.4597741341
633	0.8707193516	0.4597727489
634	0.8709093212	0.4587722423
635	0.870985309	0.4585601095
636	0.870985309	0.4585576855
637	0.8710486322	0.4585462081
638	0.8710486322	0.4585450703
639	0.8710486322	0.4585424978
640	0.8709979737	0.4583028096
641	0.8713525836	0.4579781792
642	0.8715425532	0.4573038366
643	0.8715172239	0.457297059
644	0.8715425532	0.4572762811
645	0.8715425532	0.4572586199
646	0.871656535	0.4569927119
647	0.8717705167	0.4566800041
648	0.8717705167	0.4566006522
649	0.8717705167	0.4565971398
650	0.8718844985	0.4562921
651	0.8720618034	0.455734658
652	0.8720871327	0.4554412935
653	0.8720871327	0.4554399083
654	0.8723657548	0.4544466739
655	0.8723404255	0.4543565373
656	0.8724924012	0.4533872966
657	0.8725683891	0.4533093794
658	0.8725810537	0.4533070047
659	0.8724924012	0.4532998314
660	0.8725810537	0.4531696725
661	0.8727203647	0.4529875689
662	0.8728216819	0.4527699943
663	0.8728596758	0.4525722577
664	0.8728976697	0.452528822
665	0.8728343465	0.4524834568
666	0.8730116515	0.452227641
667	0.8730496454	0.4521784665
668	0.8731129686	0.4517245678
669	0.8732142857	0.4514826534
670	0.8732269504	0.4514811198
671	0.8734549139	0.4512432125
672	0.8733535968	0.4512318342
673	0.8734802432	0.4510465643
674	0.8736702128	0.450221087
675	0.8736068896	0.4501586048
676	0.8737841945	0.4496108591
677	0.8737968592	0.4496083361
678	0.8738475177	0.4495932968
679	0.8737968592	0.4495841447
680	0.8739361702	0.4492686665
681	0.8741008105	0.4490648944
682	0.8741134752	0.4490634103
683	0.874189463	0.4489725811
684	0.8741767984	0.4489710969
685	0.8742401216	0.4488747764
686	0.8742401216	0.448872946
687	0.8742021277	0.4487785548
688	0.8742274569	0.4487769223
689	0.8742401216	0.448654283
690	0.8742527862	0.4486082253
691	0.8743034448	0.4484459596
692	0.8742781155	0.4484445249
693	0.8743034448	0.4477058202
694	0.8744047619	0.4476080155
695	0.8743920973	0.4475989623
696	0.8744554205	0.4475310383
697	0.8745820669	0.4471578766
698	0.8745440729	0.4471404133
699	0.8745314083	0.4470256894
700	0.8744680851	0.446822511
701	0.8745187437	0.4465147998
702	0.8745314083	0.4465133157
703	0.8745820669	0.4464549891
704	0.8746580547	0.4463359612
705	0.8749240122	0.4459975779
706	0.8749746707	0.4459907014
707	0.8749873354	0.4459748706
708	0.8749873354	0.4459734854
709	0.8749620061	0.4459581988
710	0.8749620061	0.4459532516
711	0.8751266464	0.4454656135
712	0.8751646403	0.4453566778
713	0.8751266464	0.4453380766
714	0.8751139818	0.4453255604
715	0.8751519757	0.4451910481
716	0.8752659574	0.4445548478
717	0.8754179331	0.4441127727
718	0.875493921	0.4436507607
719	0.8754812563	0.4435361853
720	0.8756079027	0.4432527645
721	0.875949848	0.4419870425
722	0.8760385005	0.4418667284
723	0.8760258359	0.4418653927
724	0.876266464	0.4413676624
725	0.8763551165	0.4411878344
726	0.8763677812	0.4410893372
727	0.8763551165	0.4407233488
728	0.8765197568	0.4403197624
729	0.8766084093	0.4396498227
730	0.8766337386	0.439647547
731	0.8766464032	0.4395864995
732	0.8768617021	0.4391535271
733	0.87693769	0.4390462734
734	0.8770010132	0.4390392485
735	0.8772289767	0.4387076922
736	0.8774316109	0.4379203078
737	0.8774569402	0.437236714
738	0.8774569402	0.4372354772
739	0.8776089159	0.4371255026
740	0.8776089159	0.4371101171
741	0.8776089159	0.4370406594
742	0.8775835866	0.4369293491
743	0.8775962513	0.4369273208
744	0.8777735562	0.4366480556
745	0.8777735562	0.4366469672
746	0.8778115502	0.436421972
747	0.8779002026	0.4363445495
748	0.8779002026	0.4363435106
749	0.8778748734	0.4363232768
750	0.8778748734	0.4363214959
751	0.8778242148	0.4361982135
752	0.8778748734	0.4359883564
753	0.8780521783	0.4357652906
754	0.8781028369	0.435564932
755	0.8781534954	0.4354586183
756	0.8781534954	0.4354564416
757	0.8781661601	0.4354545122
758	0.878204154	0.4354064756
759	0.8782421479	0.4353987086
760	0.8782674772	0.4350285647
761	0.8782548126	0.4349459972
762	0.8783054711	0.4348744618
763	0.8782928065	0.4346272539
764	0.8782928065	0.4346260171
765	0.8783561297	0.434564277
766	0.8786854103	0.4340039656
767	0.8787487335	0.4339931809
768	0.8786854103	0.433879397
769	0.8787613982	0.4337796135
770	0.8788500507	0.4334032362
771	0.8788627153	0.4334014552
772	0.8787867275	0.4333593552
773	0.8787993921	0.4333578216
774	0.8788247214	0.4330725209
775	0.8789513678	0.4329060501
776	0.8789513678	0.432884728
777	0.8788880446	0.4328783462
778	0.8789387031	0.4327839056
779	0.8789387031	0.4326494922
780	0.8789893617	0.4323299079
781	0.8790653495	0.432229976
782	0.8790653495	0.4322098907
783	0.8790526849	0.4319746549
784	0.8790526849	0.4319726266
785	0.8793946302	0.4316692689
786	0.8794072948	0.4313954949
787	0.8794072948	0.4313941592
788	0.8794199595	0.4313103055
789	0.8794072948	0.4313083761
790	0.8794959473	0.4312225435
791	0.8795466059	0.4311122226
792	0.8796225937	0.4309550029
793	0.8795592705	0.4309191857
794	0.8797745694	0.4304750328
795	0.8797998987	0.4304658312
796	0.8796985816	0.4302338605
797	0.8797239108	0.4300827258
798	0.8797619048	0.4298625788
799	0.879825228	0.4296417391
800	0.8799138804	0.4296322901
801	0.8799392097	0.4296007274
802	0.8800911854	0.4292321666
803	0.8801545086	0.4290345784
804	0.880141844	0.428892398
805	0.8803824721	0.4286213451
806	0.88045846	0.4283118034
807	0.8804457953	0.4283104182
808	0.8804331307	0.4282535263
809	0.8804457953	0.4281870864
810	0.88045846	0.4280630125
811	0.88045846	0.4280618252
812	0.88045846	0.4279411648
813	0.8806610942	0.4275491052
814	0.8806610942	0.4275477694
815	0.8807497467	0.4271421547
816	0.8807117528	0.4270393534
817	0.8808004053	0.4268896534
818	0.8807877406	0.4268032766
